日期,累计确诊病例-西藏自治区,累计治愈出院-西藏自治区,累计死亡病例-西藏自治区
2020/1/20,0,0,0
2020/1/21,0,0,0
2020/1/22,0,0,0
2020/1/23,0,0,0
2020/1/24,0,0,0
2020/1/25,0,0,0
2020/1/26,0,0,0
2020/1/27,0,0,0
2020/1/28,0,0,0
2020/1/29,1,0,0
2020/1/30,1,0,0
2020/1/31,1,0,0
2020/2/1,1,0,0
2020/2/2,1,0,0
2020/2/3,1,0,0
2020/2/4,1,0,0
2020/2/5,1,0,0
2020/2/6,1,0,0
2020/2/7,1,0,0
2020/2/8,1,0,0
2020/2/9,1,0,0
2020/2/10,1,0,0
2020/2/11,1,0,0
2020/2/12,1,1,0
2020/2/13,1,1,0
2020/2/14,1,1,0
2020/2/15,1,1,0
2020/2/16,1,1,0
2020/2/17,1,1,0
2020/2/18,1,1,0
2020/2/19,1,1,0
2020/2/20,1,1,0
2020/2/21,1,1,0
2020/2/22,1,1,0
2020/2/23,1,1,0
2020/2/24,1,1,0
2020/2/25,1,1,0
2020/2/26,1,1,0
2020/2/27,1,1,0
2020/2/28,1,1,0
2020/2/29,1,1,0
2020/3/1,1,1,0
2020/3/2,1,1,0
2020/3/3,1,1,0
2020/3/4,1,1,0
2020/3/5,1,1,0
2020/3/6,1,1,0
2020/3/7,1,1,0
2020/3/8,1,1,0
2020/3/9,1,1,0
2020/3/10,1,1,0
2020/3/11,1,1,0
2020/3/12,1,1,0
2020/3/13,1,1,0
2020/3/14,1,1,0
2020/3/15,1,1,0
2020/3/16,1,1,0
2020/3/17,1,1,0
2020/3/18,1,1,0
2020/3/19,1,1,0
2020/3/20,1,1,0
